,evType,STATE,Reports,totalPropertyDamage,totalCropDamage,meanPropertyDamage,meanCropDamage,Injuries,meanInjuries,Fatalities,meanFatalities
1573,winter storm,NH,57,0.189,0,0.00331578947368421,0,0,0,0,0
1574,winter storm,NJ,138,30.825,0,0.223369565217391,0,27,195.652173913043,2,14.4927536231884
1575,winter storm,NM,61,4.45,5.27,0.0729508196721312,0.0863934426229508,0,0,5,81.9672131147541
1576,winter storm,NV,88,0.61,0,0.00693181818181818,0,16,181.818181818182,4,45.4545454545455
1577,winter storm,NY,436,20.3543,0,0.0466841743119266,0,0,0,1,2.29357798165138
1578,winter storm,OH,224,927.81,0,4.14200892857143,0,56,250,3,13.3928571428571
1579,winter storm,OK,174,27.152,0,0.156045977011494,0,1,5.74712643678161,0,0
1580,winter storm,OR,79,1.085,0,0.0137341772151899,0,14,177.215189873418,8,101.26582278481
1581,winter storm,PA,284,48.845,0,0.171989436619718,0,84,295.774647887324,7,24.6478873239437
1582,winter storm,RI,24,0.485,0,0.0202083333333333,0,2,83.3333333333333,0,0
1583,winter storm,SC,58,0.225,0,0.00387931034482759,0,0,0,0,0
1584,winter storm,SD,300,10.9525,0,0.0365083333333333,0,7,23.3333333333333,0,0
1585,winter storm,TN,79,3.83604,0,0.0485574683544304,0,18,227.848101265823,2,25.3164556962025
1586,winter storm,TX,155,36.214,0.693,0.233638709677419,0.00447096774193548,5,32.258064516129,7,45.1612903225806
1587,winter storm,UT,461,11.822,0.298,0.025644251626898,0.000646420824295011,415,900.216919739696,20,43.3839479392625
1588,winter storm,VA,275,9.678,0.025,0.0351927272727273,9.09090909090909e-05,11,40,3,10.9090909090909
1589,winter storm,VT,348,15.56465,0.07,0.0447260057471264,0.000201149425287356,6,17.2413793103448,2,5.74712643678161
1590,winter storm,WA,59,1.978,0,0.0335254237288136,0,1,16.9491525423729,4,67.7966101694915
1591,winter storm,WI,379,0.621,0,0.00163852242744063,0,7,18.4696569920844,0,0
1592,winter storm,WV,175,15.4505,0.01,0.0882885714285714,5.71428571428571e-05,6,34.2857142857143,0,0
1593,winter storm,WY,514,2.395,0,0.00465953307392996,0,119,231.517509727626,6,11.6731517509728
1594,winter weather,AK,14,0.08,0,0.00571428571428571,0,1,71.4285714285714,1,71.4285714285714
1595,winter weather,AL,116,0.01,0,8.62068965517241e-05,0,0,0,0,0
1596,winter weather,AR,204,0.03,0,0.000147058823529412,0,1,4.90196078431373,1,4.90196078431373
1597,winter weather,AZ,9,0.53,0,0.0588888888888889,0,55,6111.11111111111,0,0
1598,winter weather,CA,142,0.515,0,0.00362676056338028,0,83,584.507042253521,5,35.2112676056338
1599,winter weather,CO,1196,0.044,0,3.67892976588629e-05,0,0,0,1,0.836120401337793
1600,winter weather,CT,48,0.163,0,0.00339583333333333,0,47,979.166666666667,2,41.6666666666667
1601,winter weather,DC,32,0,0,0,0,0,0,0,0
1602,winter weather,DE,117,0,0,0,0,10,85.4700854700855,0,0
1603,winter weather,FL,15,0,0,0,0,0,0,0,0
1604,winter weather,GA,169,0,0,0,0,0,0,0,0
1605,winter weather,HI,12,0,0,0,0,0,0,0,0
1606,winter weather,IA,580,0.3715,0,0.00064051724137931,0,0,0,0,0
1607,winter weather,ID,20,0,0,0,0,3,150,1,50
1608,winter weather,IL,417,0.0435,0,0.00010431654676259,0,0,0,0,0
1609,winter weather,IN,121,0.095,0,0.000785123966942149,0,4,33.0578512396694,1,8.26446280991736
1610,winter weather,KS,203,3.616,0,0.0178128078817734,0,11,54.1871921182266,3,14.7783251231527
1611,winter weather,KY,433,0.41,0,0.000946882217090069,0,4,9.2378752886836,0,0
1612,winter weather,LA,38,0.02,0,0.000526315789473684,0,0,0,0,0
1613,winter weather,MA,60,0.265,0,0.00441666666666667,0,5,83.3333333333333,0,0
1614,winter weather,MD,290,0.009,0,3.10344827586207e-05,0,0,0,3,10.3448275862069
1615,winter weather,ME,12,0,0,0,0,0,0,0,0
1616,winter weather,MI,292,0.1005,0,0.000344178082191781,0,0,0,0,0
1617,winter weather,MN,85,0.049,0,0.000576470588235294,0,6,70.5882352941177,1,11.7647058823529
1618,winter weather,MO,137,0.009,0,6.56934306569343e-05,0,0,0,0,0
1619,winter weather,MS,56,0.24,0,0.00428571428571429,0,0,0,0,0
1620,winter weather,MT,119,0,0,0,0,10,84.0336134453782,4,33.6134453781513
1621,winter weather,NC,279,0.071,0,0.000254480286738351,0,3,10.752688172043,2,7.16845878136201
1622,winter weather,ND,25,0.595,0,0.0238,0,0,0,0,0
1623,winter weather,NE,103,0.416,0,0.00403883495145631,0,0,0,0,0
1624,winter weather,NH,10,0.03,0,0.003,0,0,0,0,0
1625,winter weather,NJ,370,0,0,0,0,8,21.6216216216216,2,5.40540540540541
1626,winter weather,NM,19,0,0,0,0,0,0,0,0
1627,winter weather,NV,26,0.15,0,0.00576923076923077,0,0,0,0,0
1628,winter weather,NY,236,1.964,0,0.00832203389830508,0,11,46.6101694915254,1,4.23728813559322
1629,winter weather,OH,36,0.55,0,0.0152777777777778,0,0,0,0,0
1630,winter weather,OK,117,0.46,0,0.00393162393162393,0,6,51.2820512820513,0,0
1631,winter weather,OR,24,0.05,0,0.00208333333333333,0,2,83.3333333333333,1,41.6666666666667
1632,winter weather,PA,335,1.895,0,0.00565671641791045,0,105,313.432835820896,7,20.8955223880597
1633,winter weather,RI,3,0,0,0,0,0,0,0,0
1634,winter weather,SC,60,0.11,0,0.00183333333333333,0,0,0,1,16.6666666666667
1635,winter weather,SD,161,0.085,0,0.000527950310559006,0,0,0,1,6.2111801242236
1636,winter weather,TN,207,0.3,0,0.00144927536231884,0,0,0,1,4.83091787439614
1637,winter weather,TX,250,9.9352,0,0.0397408,0,175,700,15,60
1638,winter weather,UT,284,0.02,0,7.04225352112676e-05,0,0,0,0,0
1639,winter weather,VA,189,0.01,0,5.29100529100529e-05,0,1,5.29100529100529,5,26.4550264550265
1640,winter weather,VT,183,2.66,0,0.0145355191256831,0,0,0,2,10.9289617486339
1641,winter weather,WA,54,0.718,0,0.0132962962962963,0,7,129.62962962963,1,18.5185185185185
1642,winter weather,WI,100,0.6108,15,0.006108,0.15,2,20,0,0
1643,winter weather,WV,163,0.06,0,0.000368098159509202,0,0,0,0,0
1644,winter weather,WY,15,0.02,0,0.00133333333333333,0,0,0,0,0
